frame,theta,omega,tau_th,tau_em,tau_fr,tau_load,tau_net,T_core,T_ch0,T_ch1,T_ch2,T_ch3,T_ch4,T_ch5,KE,E_th,E_em,E_load
170,2.8007,19.4485,0.000,12.000,15.519,3.556,-7.075,334.75,204.27,201.86,199.80,209.97,208.07,206.18,151.30,218383.23,3587.75,3456.21
171,3.5906,19.1005,0.000,12.000,14.975,3.528,-6.503,334.30,206.09,203.73,201.71,199.59,209.83,207.97,145.93,218383.23,3597.23,3459.01
172,4.4193,20.4123,0.000,12.000,17.075,3.633,-8.708,333.84,207.88,205.56,203.57,201.49,199.38,209.72,166.67,218412.24,3606.20,3462.00
173,5.4375,27.3701,0.000,12.000,30.512,4.190,-22.702,333.39,209.63,207.34,205.40,203.36,201.28,199.25,299.65,218570.27,3616.25,3466.09
174,0.2619,26.6323,0.000,12.000,28.904,4.131,-21.034,332.95,199.16,209.09,207.18,205.18,203.13,201.14,283.71,218579.00,3629.21,3470.70
175,1.3320,25.6116,0.000,12.000,26.750,4.049,-18.799,332.50,201.05,198.65,208.93,206.96,204.95,202.99,262.38,218579.00,3642.05,3475.07
176,2.3626,24.6976,0.000,12.000,24.893,3.976,-16.869,332.06,202.89,200.54,198.47,208.70,206.73,204.81,243.99,218579.00,3654.42,3479.21
177,3.3576,23.8760,0.000,12.000,23.280,3.910,-15.190,331.62,204.70,202.39,200.36,198.24,208.47,206.58,228.03,218579.00,3666.36,3483.13
178,4.3207,23.1350,0.000,12.000,21.872,3.851,-13.723,331.18,206.47,204.20,202.20,200.12,197.99,208.31,214.09,218579.00,3677.92,3486.87
179,5.2549,22.4647,0.000,12.000,20.636,3.797,-12.433,330.75,208.20,205.97,204.01,201.97,199.87,197.80,201.86,218579.00,3689.13,3490.44
180,6.1630,21.8566,0.000,12.000,19.546,3.749,-11.294,330.31,209.89,207.70,205.78,203.77,201.71,199.68,191.08,218579.00,3700.03,3493.87
181,0.7642,21.3035,0.000,12.000,18.580,3.704,-10.284,329.89,199.52,209.39,207.50,205.53,203.51,201.51,181.54,218579.00,3710.64,3497.17
182,1.6269,20.7994,0.000,12.000,17.721,3.664,-9.385,329.46,201.35,198.98,209.19,207.26,205.27,203.31,173.05,218579.00,3720.99,3500.34
183,2.4698,20.3389,0.000,12.000,16.954,3.627,-8.581,329.04,203.14,200.82,198.73,208.94,206.99,205.07,165.47,218579.00,3731.11,3503.42
184,3.2947,19.9175,0.000,12.000,16.267,3.593,-7.860,328.63,204.90,202.61,200.56,198.42,208.67,206.79,158.68,218579.00,3741.00,3506.40
185,4.1031,19.5312,0.000,12.000,15.649,3.562,-7.212,328.22,206.61,204.37,202.36,200.25,210.32,208.47,152.59,218579.00,3750.70,3509.29
186,4.8964,19.1764,0.000,12.000,15.093,3.534,-6.627,327.81,208.29,206.09,204.11,202.04,199.91,210.11,147.09,218579.00,3760.22,3512.10
187,5.6757,18.8502,0.000,12.000,14.590,3.508,-6.098,327.41,209.93,207.77,205.83,203.79,201.70,199.62,142.13,218579.00,3769.57,3514.85
188,0.2270,20.6873,0.000,12.000,17.532,3.655,-9.187,327.01,199.36,209.41,207.51,205.51,203.45,201.41,171.19,218616.79,3778.61,3517.87
189,1.2138,26.1867,0.000,12.000,27.953,4.095,-20.048,326.62,201.15,198.83,209.15,207.19,205.17,203.17,274.30,218740.83,3788.56,3521.76
190,2.2666,25.2130,0.000,12.000,25.932,4.017,-17.949,326.22,202.90,200.62,198.57,208.83,206.85,204.88,254.28,218740.83,3801.19,3526.03
191,3.2817,24.3396,0.000,12.000,24.184,3.947,-16.131,325.83,204.61,202.38,200.36,198.25,208.49,206.56,236.97,218740.83,3813.37,3530.08
192,4.2629,23.5535,0.000,12.000,22.662,3.884,-14.546,325.44,206.29,204.09,202.11,200.04,197.90,208.20,221.91,218740.83,3825.14,3533.92
