frame,theta,omega,tau_th,tau_em,tau_fr,tau_load,tau_net,T_core,T_ch0,T_ch1,T_ch2,T_ch3,T_ch4,T_ch5,KE,E_th,E_em,E_load
39,1.9654,33.2734,0.000,12.000,44.950,4.662,-37.612,446.46,201.85,194.59,205.61,204.62,203.59,202.91,442.85,205278.51,1470.55,2504.09
40,3.2909,31.4710,0.000,12.000,40.246,4.518,-32.764,445.07,205.53,198.40,197.27,196.09,207.23,206.57,396.17,205278.51,1486.46,2510.18
41,4.5474,29.8955,0.000,12.000,36.348,4.392,-28.739,443.70,209.12,202.12,201.01,199.85,198.65,210.14,357.50,205278.51,1501.54,2515.77
42,6.2073,68.6245,0.000,12.000,189.745,7.490,-185.235,442.35,212.62,205.75,204.66,203.52,202.34,201.47,1883.73,207027.28,1513.68,2525.16
43,3.3907,80.4042,0.000,12.000,260.202,8.432,-256.634,441.00,203.99,197.28,196.14,194.96,205.94,205.09,2585.94,208768.26,1548.29,2555.57
44,0.1548,69.1044,0.000,12.000,192.399,7.528,-187.927,439.64,195.39,200.95,199.84,198.68,197.46,196.54,1910.17,208768.26,1584.86,2579.89
45,2.8030,60.6654,0.000,12.000,148.425,6.853,-143.278,438.29,199.07,192.60,191.42,202.30,201.10,200.21,1472.11,208768.26,1616.64,2598.93
46,5.1478,54.1345,0.000,12.000,118.304,6.331,-112.635,436.93,202.67,196.31,195.15,193.93,192.66,203.78,1172.22,208768.26,1644.78,2614.39
47,0.9712,48.9398,0.000,12.000,96.783,5.915,-90.698,435.59,194.16,199.93,198.79,197.60,196.35,195.37,958.04,208768.26,1670.05,2627.29
48,2.8862,44.7173,0.000,12.000,80.880,5.577,-74.457,434.25,197.80,191.63,190.38,201.18,199.95,198.99,799.86,208768.26,1693.03,2638.30
49,4.6441,41.2241,0.000,12.000,68.802,5.298,-62.099,432.93,201.35,195.29,194.07,192.78,191.43,202.52,679.77,208768.26,1714.13,2647.86
50,6.2710,38.2918,0.000,12.000,59.416,5.063,-52.480,431.62,204.82,198.87,197.66,196.41,195.07,194.00,586.51,208768.26,1733.65,2656.29
51,1.5041,35.8003,0.000,12.000,51.983,4.864,-44.847,430.32,196.29,190.36,201.18,199.94,198.63,197.58,512.67,208768.26,1751.85,2663.82
52,2.9259,33.6613,0.000,12.000,45.997,4.693,-38.689,429.04,199.81,193.98,192.65,203.39,202.11,201.07,453.23,208768.26,1768.91,2670.61
53,4.2662,31.8086,0.000,12.000,41.108,4.545,-33.652,427.77,203.24,197.52,196.21,194.83,193.38,204.48,404.71,208768.26,1784.99,2676.80
54,5.5357,30.1915,0.000,12.000,37.065,4.415,-29.480,426.52,206.59,200.97,199.68,198.33,196.91,195.70,364.61,208768.26,1800.23,2682.49
55,0.4599,28.7705,0.000,12.000,33.685,4.302,-25.987,425.29,197.76,204.34,203.08,201.75,200.35,199.16,331.10,208768.26,1814.72,2687.75
56,1.6126,27.5146,0.000,12.000,30.832,4.201,-23.034,424.07,201.17,195.60,206.39,205.09,203.71,202.54,302.82,208768.26,1828.55,2692.66
