    1.6G      77 files  mp3
    622M     290 files  pdf
    133M     101 files  mht
    130M      65 files  png
    101M      56 files  mhtml
     99M     691 files  txt
     33M       2 files  csv
     24M      27 files  ipynb
     21M     539 files  tex
     17M      58 files  ttf
    7.0M     216 files  html
    4.9M      76 files  vtt
    4.8M       6 files  blend
    4.3M       2 files  blend1
    4.3M       5 files  svg
    2.1M       4 files  eot
    1.8M      13 files  cloak
    948K     460 files  py
    702K       4 files  woff
    656K       5 files  g2n
    642K     136 files  md
    447K       4 files  woff2
    420K      27 files  bib
    280K       3 files  jpg
    202K      55 files  sh
     93K      50 files  js
     74K      68 files  [none]
     72K      57 files  java
     38K       9 files  lean
     27K       5 files  memory
     17K       9 files  css
     12K      11 files  1
    7.9K       6 files  rkt
    6.3K       1 files  gitignore
    6.1K       2 files  7
    4.6K       3 files  go
    4.6K       4 files  c
    2.8K       4 files  dockerfile
    2.3K       9 files  hs
    1.1K       2 files  gradle
    1.1K       1 files  bnf
     969       2 files  cabal
     917       4 files  ebnf
     899       3 files  yml
     850       1 files  g4
     821       1 files  adt
     718       1 files  smallstep
     625       2 files  latexmkrc
     541       1 files  safety
     536       1 files  typing
     471       3 files  toml
     414       1 files  guard
     301       1 files  bigstep
     274       1 files  tmux
     180       1 files  sha256
     163       2 files  yaml
     146       1 files  evalctx
      84       1 files  mis
      59       1 files  properties
      13       2 files  err
